timestamp,distance,cycles,active time,activity type,active calories,timestamp 16,heart rate,intensity,duration min,ascent,descent
,,,,,,26808,90,,,,
,,,,,,26868,89,,,,
2023-09-01T09:55:00.000Z,,,,sedentary,,,,4,,,
,,,,,,26928,82,,,,
,,,,,,26988,89,,,,
,,4238,4301.000,walking,308,26988,,2,,,
,,,,,,27048,95,,,,
,,,,,,27108,85,,,,
,,,,,,27168,80,,,,
,,,,,,27228,78,,,,
,,,,,,27288,77,,,,
,,,,,,27348,72,,,,
,,,,,,27408,74,,,,
,,,,,,27468,79,,,,
,,,,,,27528,76,,,,
,,,,,,27588,77,,,,
,,,,,,27648,75,,,,
,,,,,,27708,76,,,,
,,,,,,27768,87,,,,
,,,,,,27828,84,,,,
,,,,,,27888,79,,,,
2023-09-01T10:12:00.000Z,,,,sedentary,,,,4,,,
,,,,,,27948,72,,,,
,,,,,,28008,73,,,,
,,,,,,28068,78,,,,
,,,,,,28128,72,,,,
,,,,,,28188,73,,,,
,,,,,,28248,79,,,,
,,,,,,28308,81,,,,
,,,,,,28368,84,,,,
,,,,,,28428,83,,,,
,,,,,,28488,82,,,,
2023-09-01T10:22:00.000Z,,,,sedentary,,,,4,,,
,,,,,,28548,83,,,,
,,,,,,28608,77,,,,
,,,,,,28668,76,,,,
,,,,,,28692,,,,,2.300
,,,,,,28728,75,,,,
,,,,,,28788,74,,,,
,,,,,,28797,,,,4.801,
,,,,,,28848,87,,,,
,,4638,4500.000,walking,319,28848,,2,,,
,,,,,,28908,84,,,,
,,,,,,28968,79,,,,
2023-09-01T10:30:00.000Z,,,,sedentary,,,,6,,,
,,,,,,29028,83,,,,
,,,,,,29088,88,,,,
,,4648,4505.000,walking,319,29088,,0,,,
,,,,,,29148,87,,,,
,,,,,,29208,85,,,,
,,,,,,29268,90,,,,
,,,,,,29328,89,,,,
,,,,,,29388,91,,,,
2023-09-01T10:37:00.000Z,,,,sedentary,,,,6,,,
,,,,,,29448,98,,,,
,,,,,,29508,99,,,,
,,,,,,29568,96,,,,
,,4714,4525.000,walking,320,29568,,3,,,
,,,,,,29628,97,,,,
,,,,,,29688,91,,,,
,,,,,,29748,94,,,,
,,,,,,29808,92,,,,
,,,,,,29868,81,,,,
2023-09-01T10:45:00.000Z,,,,sedentary,,,,5,,,
,,,,,,29928,80,,,,
,,4732,4532.000,walking,320,29928,,2,,,
,,,,,,29988,89,,,,
