timestamp,distance,cycles,active time,activity type,active calories,timestamp 16,heart rate,intensity,duration min,ascent,descent,moderate activity minutes,vigorous activity minutes
,,,,,,64580,91,,,,,,
,,,,,,64614,,,,3.048,,,
,,,,,,64640,94,,,,,,
,,,,,,64659,,,,,3.957,,
,,,,,,64820,93,,,,,,
,,2787,1341.000,walking,54,64820,,2,,,,,
,,,,,,64880,87,,,,,,
,,,,,,64940,82,,,,,,
2024-04-26T06:29:00.000Z,,,,sedentary,,,,4,,,,,
,,,,,,65000,78,,,,,,
,,2794,1342.000,walking,54,65000,,1,,,,,
,,,,,,65060,75,,,,,,
,,,,,,65099,,,,,5.475,,
,,,,,,65120,81,,,,,,
,,,,,,65180,87,,,,,,
,,,,,,65240,89,,,,,,
,,2924,1389.000,walking,55,65240,,3,,,,,
,,,,,,65300,90,,,,,,
,,,,,,65360,92,,,,,,
2024-04-26T06:36:00.000Z,,,,sedentary,,,,5,,,,,
,,,,,,65420,74,,,,,,
,,2939,1394.000,walking,55,65420,,2,,,,,
,,,,,,65480,71,,,,,,
2024-04-26T06:39:00.000Z,,,,sedentary,,,,5,,,,,
,,,,,,64,70,,,,,,
,,2947,1396.000,walking,55,64,,1,,,,,
,,,,,,124,77,,,,,,
2024-04-26T06:41:00.000Z,,,,sedentary,,,,0,,,,,
,,,,,,184,70,,,,,,
,,,,,,244,66,,,,,,
,,,,,,304,78,,,,,,
,,,,,,364,73,,,,,,
2024-04-26T06:45:00.000Z,,,,sedentary,,,,5,,,,,
,,,,,,424,78,,,,,,
,,2958,1400.000,walking,55,424,,1,,,,,
,,,,,,484,75,,,,,,
,,,,,,544,67,,,,,,
,,,,,,604,72,,,,,,
,,,,,,664,71,,,,,,
2024-04-26T06:50:00.000Z,,,,sedentary,,,,3,,,,,
,,,,,,724,67,,,,,,
2024-04-26T06:51:00.000Z,,,,sedentary,,,,0,,,,,
,,,,,,784,62,,,,,,
,,2972,1404.000,walking,55,784,,2,,,,,
,,,,,,844,67,,,,,,
,,,,,,904,80,,,,,,
,,,,,,964,78,,,,,,
2024-04-26T06:55:00.000Z,,,,sedentary,,,,4,,,,,
,,,,,,1024,71,,,,,,
,,,,,,1084,77,,,,,,
,,3000,1414.000,walking,55,1084,,1,,,,,
,,,,,,1144,74,,,,,,
,,,,,,1204,68,,,,,,
,,,,,,1264,71,,,,,,
2024-04-26T07:00:00.000Z,,,,sedentary,,,,4,,,,,
,,,,,,1324,66,,,,,,
2024-04-26T07:01:00.000Z,,,,sedentary,,,,2,,,,,
,,,,,,1384,70,,,,,,
,,3009,1416.000,walking,55,1384,,3,,,,,
,,,,,,1444,67,,,,,,
,,,,,,1504,62,,,,,,
