timestamp,distance,cycles,active time,activity type,active calories,timestamp 16,heart rate,intensity,duration min
,,,,,,22728,70,,
,,,,,,22788,62,,
2021-12-03T05:03:00.000Z,,,,sedentary,,,,4,
,,,,,,22848,59,,
2021-12-03T05:04:00.000Z,,,,sedentary,,,,6,
,,,,,,22908,78,,
,,268,1201.000,walking,3,22908,,2,
,,,,,,22968,84,,
,,,,,,23028,63,,
2021-12-03T05:07:00.000Z,,,,sedentary,,,,4,
,,,,,,23088,54,,
,,,,,,23148,50,,
2021-12-03T05:09:00.000Z,,,,sedentary,,,,0,
2021-12-03T05:10:00.000Z,,,,sedentary,,,,4,
,,,,,,23268,52,,
2021-12-03T05:11:00.000Z,,,,sedentary,,,,0,
,,,,,,23328,55,,
,,282,1261.000,walking,3,23328,,2,
,,,,,,23388,73,,
2021-12-03T05:13:00.000Z,,,,sedentary,,,,6,
,,,,,,23448,79,,
,,341,1381.000,walking,5,23508,,3,
,,,,,,23568,68,,
,,,,,,23628,74,,
,,,,,,23688,79,,
,,,,,,23748,77,,
,,,,,,23808,76,,
,,,,,,23868,82,,
,,,,,,23928,79,,
,,,,,,23988,77,,
,,,,,,24048,79,,
,,1009,1921.000,walking,29,24048,,3,
,,,,,,24108,80,,
,,,,,,24168,86,,
,,181,120.000,running,11,24168,,3,
,,,,,,24228,79,,
,,,,,,24288,71,,
,,,,,,24348,73,,
,,,,,,24408,68,,
,,,,,,24468,67,,
,,,,,,24528,65,,
,,,,,,24588,67,,
2021-12-03T05:33:00.000Z,,,,sedentary,,,,5,
,,,,,,24648,80,,
,,,,,,24708,79,,
,,,,,,24768,86,,
,,1108,2101.000,walking,33,24768,,2,
,,,,,,24828,79,,
,,,,,,24888,74,,
,,,,,,24948,69,,
,,,,,,25008,64,,
2021-12-03T05:40:00.000Z,,,,sedentary,,,,3,
,,,,,,25068,61,,
2021-12-03T05:41:00.000Z,,,,sedentary,,,,0,
,,,,,,25128,59,,
,,,,,,25188,60,,
,,,,,,25248,62,,
,,,,,,25308,61,,
,,,,,,25368,62,,
,,,,,,25428,60,,
,,,,,,25488,59,,
,,,,,,25608,57,,
,,,,,,25668,56,,
,,,,,,25728,57,,
2021-12-03T05:52:00.000Z,,,,sedentary,,,,3,
,,,,,,25788,59,,
2021-12-03T05:53:00.000Z,,,,sedentary,,,,0,
,,,,,,25848,56,,
,,,,,,25968,57,,
,,,,,,26028,58,,
,,,,,,26088,56,,
2021-12-03T05:58:00.000Z,,,,sedentary,,,,3,
,,,,,,26148,58,,
2021-12-03T05:59:00.000Z,,,,sedentary,,,,0,
,,,,,,26208,59,,
,,1129,2161.000,walking,33,26208,,3,
,,,,,,26268,71,,
2021-12-03T06:01:00.000Z,,,,sedentary,,,,5,
,,,,,,26328,63,,
,,,,,,26388,60,,
2021-12-03T06:03:00.000Z,,,,sedentary,,,,0,
,,,,,,26448,57,,
2021-12-03T06:04:00.000Z,,,,sedentary,,,,0,
,,,,,,26508,58,,
2021-12-03T06:05:00.000Z,,,,sedentary,,,,3,
,,,,,,26568,59,,
2021-12-03T06:06:00.000Z,,,,sedentary,,,,0,
,,,,,,26628,57,,
,,,,,,26688,59,,
,,,,,,26748,62,,
,,,,,,26808,63,,
2021-12-03T06:10:00.000Z,,,,sedentary,,,,2,
,,,,,,26868,59,,
2021-12-03T06:11:00.000Z,,,,sedentary,,,,0,
,,,,,,26928,60,,
2021-12-03T06:12:00.000Z,,,,sedentary,,,,4,
,,,,,,26988,58,,
2021-12-03T06:13:00.000Z,,,,sedentary,,,,0,
2021-12-03T06:14:00.000Z,,,,sedentary,,,,3,
,,,,,,27108,60,,
2021-12-03T06:15:00.000Z,,,,sedentary,,,,0,
,,,,,,27168,59,,
,,,,,,27288,63,,
,,,,,,27348,61,,
2021-12-03T06:19:00.000Z,,,,sedentary,,,,4,
,,,,,,27408,62,,
,,,,,,27468,60,,
2021-12-03T06:21:00.000Z,,,,sedentary,,,,0,
,,,,,,27528,61,,
,,,,,,27588,59,,
,,,,,,27648,60,,
2021-12-03T06:24:00.000Z,,,,sedentary,,,,3,
,,,,,,27768,61,,
,,,,,,27828,58,,
2021-12-03T06:27:00.000Z,,,,sedentary,,,,0,
,,,,,,27888,56,,
,,,,,,27948,59,,
2021-12-03T06:29:00.000Z,,,,sedentary,,,,3,
,,,,,,28008,60,,
,,,,,,28068,61,,
2021-12-03T06:31:00.000Z,,,,sedentary,,,,0,
,,,,,,28128,59,,
,,,,,,28188,66,,
,,,,,,28248,62,,
,,,,,,28308,61,,
,,,,,,28368,63,,
,,,,,,28428,64,,
,,,,,,28488,63,,
,,,,,,28548,74,,
,,,,,,28608,79,,
,,,,,,28668,60,,
2021-12-03T06:42:00.000Z,,,,sedentary,,,,4,
,,,,,,28788,77,,
,,1135,2221.000,walking,34,28788,,1,
,,,,,,28848,71,,
2021-12-03T06:44:00.000Z,,,,sedentary,,,,1,
,,,,,,28908,60,,
,,,,,,28968,0,,
2021-12-03T06:48:00.000Z,,,,sedentary,,,,0,
,,,,,,29208,66,,
,,,,,,29268,79,,
,,,,,,29388,69,,
,,,,,,29448,76,,
,,,,,,29508,75,,
,,,,,,29568,82,,
2021-12-03T06:56:00.000Z,,,,sedentary,,,,5,
,,,,,,29628,84,,
,,1152,2281.000,walking,36,29628,,2,
,,,,,,29688,87,,
,,,,,,29748,72,,
,,,,,,29808,63,,
,,,,,,29868,61,,
,,,,,,29988,60,,
2021-12-03T07:03:00.000Z,,,,sedentary,,,,4,
,,,,,,30108,59,,
,,,,,,30228,61,,
,,,,,,30288,58,,
,,,,,,30348,60,,
,,,,,,30408,61,,
2021-12-03T07:10:00.000Z,,,,sedentary,,,,3,
2021-12-03T07:11:00.000Z,,,,sedentary,,,,0,
,,,,,,30588,57,,
,,,,,,30828,56,,
,,,,,,30888,57,,
,,,,,,31068,56,,
,,,,,,31128,57,,
,,,,,,31248,59,,
,,,,,,31308,61,,
,,,,,,31368,57,,
2021-12-03T07:26:00.000Z,,,,sedentary,,,,3,
,,,,,,31428,56,,
2021-12-03T07:27:00.000Z,,,,sedentary,,,,0,
,,,,,,31488,57,,
,,,,,,31548,56,,
,,,,,,31608,58,,
,,,,,,31668,62,,
,,,,,,31728,60,,
,,,,,,31788,57,,
,,,,,,31968,58,,
2021-12-03T07:36:00.000Z,,,,sedentary,,,,3,
,,,,,,32028,57,,
,,,,,,32088,58,,
2021-12-03T07:38:00.000Z,,,,sedentary,,,,0,
,,,,,,32148,56,,
,,,,,,32208,59,,
,,,,,,32268,55,,
,,,,,,32328,56,,
2021-12-03T07:42:00.000Z,,,,sedentary,,,,3,
2021-12-03T07:43:00.000Z,,,,sedentary,,,,0,
,,,,,,32448,53,,
,,,,,,32568,57,,
,,,,,,32628,58,,
,,,,,,32688,55,,
,,,,,,32748,54,,
,,,,,,32808,59,,
,,,,,,32868,56,,
