timestamp,distance,cycles,active time,activity type,active calories,timestamp 16,heart rate,intensity,duration min,ascent,descent,moderate activity minutes
2022-07-25T04:28:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,53320,81,,,,,
,,,,,,53380,77,,,,,
,,,,,,53440,73,,,,,
,,,,,,53500,71,,,,,
2022-07-25T04:33:00.000Z,,,,sedentary,,,,4,,,,
,,,,,,53560,78,,,,,
2022-07-25T04:34:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,53620,71,,,,,
,,,,,,53664,,,,3.047,,
,,,,,,53680,96,,,,,
,,,,,,53740,118,,,,,
,,,,,,53759,,,,,3.543,
,,,,,,53800,105,,,,,
,,1611,1812.000,walking,110,53800,,1,,,,
,,,,,,53860,94,,,,,
,,,,,,53920,85,,,,,
2022-07-25T04:40:00.000Z,,,,sedentary,,,,5,,,,
,,,,,,53980,80,,,,,
,,,,,,54040,90,,,,,
,,,,,,54100,88,,,,,
,,1668,1833.000,walking,111,54100,,2,,,,
,,,,,,54160,85,,,,,
2022-07-25T04:44:00.000Z,,,,sedentary,,,,5,,,,
,,,,,,54220,77,,,,,
,,1695,1840.000,walking,111,54220,,2,,,,
,,,,,,54280,84,,,,,
,,1704,1841.000,walking,111,54280,,2,,,,
,,,,,,54340,89,,,,,
,,,,,,54400,72,,,,,
,,,,,,54460,63,,,,,
,,,,,,54520,66,,,,,
2022-07-25T04:50:00.000Z,,,,sedentary,,,,4,,,,
,,,,,,54580,74,,,,,
2022-07-25T04:51:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,54640,66,,,,,
2022-07-25T04:52:00.000Z,,,,sedentary,,,,1,,,,
,,,,,,54700,62,,,,,
2022-07-25T04:53:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,54820,63,,,,,
2022-07-25T04:55:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,54880,70,,,,,
2022-07-25T04:56:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,54940,68,,,,,
2022-07-25T04:58:00.000Z,,,,sedentary,,,,2,,,,
,,,,,,55060,67,,,,,
,,,,,,55120,66,,,,,
,,,,,,55180,65,,,,,
2022-07-25T05:01:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,55240,68,,,,,
,,,,,,55300,70,,,,,
,,,,,,55360,67,,,,,
,,,,,,55420,70,,,,,
2022-07-25T05:05:00.000Z,,,,sedentary,,,,2,,,,
,,,,,,55480,68,,,,,
2022-07-25T05:06:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,55540,69,,,,,
,,,,,,55600,68,,,,,
2022-07-25T05:08:00.000Z,,,,sedentary,,,,2,,,,
,,,,,,55660,67,,,,,
2022-07-25T05:09:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,55720,68,,,,,
2022-07-25T05:10:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,55780,72,,,,,
2022-07-25T05:11:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,55840,76,,,,,
2022-07-25T05:12:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,55900,78,,,,,
