stress level value,stress level time
31,2024-05-09T03:13:00.000Z
32,2024-05-09T03:14:00.000Z
39,2024-05-09T03:15:00.000Z
38,2024-05-09T03:16:00.000Z
30,2024-05-09T03:17:00.000Z
27,2024-05-09T03:18:00.000Z
32,2024-05-09T03:19:00.000Z
38,2024-05-09T03:20:00.000Z
30,2024-05-09T03:21:00.000Z
27,2024-05-09T03:22:00.000Z
27,2024-05-09T03:23:00.000Z
28,2024-05-09T03:24:00.000Z
27,2024-05-09T03:25:00.000Z
30,2024-05-09T03:26:00.000Z
33,2024-05-09T03:27:00.000Z
27,2024-05-09T03:28:00.000Z
28,2024-05-09T03:29:00.000Z
26,2024-05-09T03:30:00.000Z
27,2024-05-09T03:31:00.000Z
24,2024-05-09T03:32:00.000Z
27,2024-05-09T03:33:00.000Z
26,2024-05-09T03:34:00.000Z
27,2024-05-09T03:35:00.000Z
28,2024-05-09T03:36:00.000Z
27,2024-05-09T03:37:00.000Z
33,2024-05-09T03:38:00.000Z
30,2024-05-09T03:39:00.000Z
28,2024-05-09T03:40:00.000Z
42,2024-05-09T03:41:00.000Z
40,2024-05-09T03:42:00.000Z
32,2024-05-09T03:43:00.000Z
28,2024-05-09T03:44:00.000Z
34,2024-05-09T03:45:00.000Z
33,2024-05-09T03:46:00.000Z
30,2024-05-09T03:47:00.000Z
31,2024-05-09T03:48:00.000Z
30,2024-05-09T03:49:00.000Z
35,2024-05-09T03:50:00.000Z
30,2024-05-09T03:51:00.000Z
30,2024-05-09T03:52:00.000Z
28,2024-05-09T03:53:00.000Z
30,2024-05-09T03:54:00.000Z
27,2024-05-09T03:55:00.000Z
25,2024-05-09T03:56:00.000Z
27,2024-05-09T03:57:00.000Z
28,2024-05-09T03:58:00.000Z
27,2024-05-09T03:59:00.000Z
24,2024-05-09T04:00:00.000Z
24,2024-05-09T04:01:00.000Z
27,2024-05-09T04:02:00.000Z
25,2024-05-09T04:03:00.000Z
27,2024-05-09T04:04:00.000Z
25,2024-05-09T04:05:00.000Z
27,2024-05-09T04:06:00.000Z
27,2024-05-09T04:07:00.000Z
25,2024-05-09T04:08:00.000Z
25,2024-05-09T04:09:00.000Z
27,2024-05-09T04:10:00.000Z
24,2024-05-09T04:11:00.000Z
31,2024-05-09T04:12:00.000Z
44,2024-05-09T04:13:00.000Z
30,2024-05-09T04:14:00.000Z
34,2024-05-09T04:15:00.000Z
48,2024-05-09T04:16:00.000Z
27,2024-05-09T04:17:00.000Z
54,2024-05-09T04:18:00.000Z
33,2024-05-09T04:19:00.000Z
27,2024-05-09T04:20:00.000Z
23,2024-05-09T04:21:00.000Z
48,2024-05-09T04:22:00.000Z
32,2024-05-09T04:23:00.000Z
29,2024-05-09T04:24:00.000Z
26,2024-05-09T04:25:00.000Z
30,2024-05-09T04:26:00.000Z
24,2024-05-09T04:27:00.000Z
16,2024-05-09T04:28:00.000Z
25,2024-05-09T04:29:00.000Z
27,2024-05-09T04:30:00.000Z
27,2024-05-09T04:31:00.000Z
31,2024-05-09T04:32:00.000Z
23,2024-05-09T04:33:00.000Z
20,2024-05-09T04:34:00.000Z
22,2024-05-09T04:35:00.000Z
23,2024-05-09T04:36:00.000Z
27,2024-05-09T04:37:00.000Z
26,2024-05-09T04:38:00.000Z
29,2024-05-09T04:39:00.000Z
28,2024-05-09T04:40:00.000Z
28,2024-05-09T04:41:00.000Z
-1,2024-05-09T04:42:00.000Z
-1,2024-05-09T04:43:00.000Z
22,2024-05-09T04:44:00.000Z
32,2024-05-09T04:45:00.000Z
22,2024-05-09T04:46:00.000Z
20,2024-05-09T04:47:00.000Z
20,2024-05-09T04:48:00.000Z
17,2024-05-09T04:49:00.000Z
21,2024-05-09T04:50:00.000Z
22,2024-05-09T04:51:00.000Z
25,2024-05-09T04:52:00.000Z
26,2024-05-09T04:53:00.000Z
12,2024-05-09T04:54:00.000Z
19,2024-05-09T04:55:00.000Z
19,2024-05-09T04:56:00.000Z
17,2024-05-09T04:57:00.000Z
21,2024-05-09T04:58:00.000Z
22,2024-05-09T04:59:00.000Z
18,2024-05-09T05:00:00.000Z
24,2024-05-09T05:01:00.000Z
15,2024-05-09T05:02:00.000Z
20,2024-05-09T05:03:00.000Z
16,2024-05-09T05:04:00.000Z
11,2024-05-09T05:05:00.000Z
11,2024-05-09T05:06:00.000Z
13,2024-05-09T05:07:00.000Z
16,2024-05-09T05:08:00.000Z
17,2024-05-09T05:09:00.000Z
15,2024-05-09T05:10:00.000Z
12,2024-05-09T05:11:00.000Z
14,2024-05-09T05:12:00.000Z
20,2024-05-09T05:13:00.000Z
